epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13358.2,1.55076,1.74285,1.77197,0.54189,0.40908,0.44236,0.20681,1.81807,1.68705,1.92811,0.00643101,0.00643101,0.00643101
43,13638.6,1.55249,1.73796,1.76739,0.50624,0.43732,0.44598,0.2091,1.81363,1.68056,1.90646,0.00628101,0.00628101,0.00628101
44,13893.1,1.53416,1.71067,1.75886,0.50608,0.43735,0.44334,0.20993,1.80023,1.68322,1.90663,0.00612981,0.00612981,0.00612981
45,14150.9,1.53665,1.71024,1.75503,0.51918,0.43147,0.44121,0.20742,1.80066,1.69863,1.90792,0.00597754,0.00597754,0.00597754
46,14409.7,1.53839,1.69564,1.7573,0.54099,0.42497,0.4509,0.2119,1.80086,1.67797,1.9078,0.00582435,0.00582435,0.00582435
47,14663.4,1.52522,1.69123,1.75181,0.54698,0.4143,0.44129,0.21278,1.78903,1.6758,1.90046,0.0056704,0.0056704,0.0056704
48,14914.6,1.52285,1.67385,1.74525,0.53198,0.41461,0.44721,0.2133,1.80305,1.67919,1.91307,0.00551584,0.00551584,0.00551584
49,15172.9,1.51622,1.64991,1.73552,0.53093,0.44365,0.45796,0.21875,1.80099,1.65728,1.90731,0.00536081,0.00536081,0.00536081
50,15434.2,1.52144,1.66219,1.74006,0.52727,0.45437,0.45975,0.21766,1.80473,1.64414,1.91325,0.00520548,0.00520548,0.00520548
51,15680.4,1.5145,1.64857,1.73312,0.5121,0.4462,0.45206,0.2169,1.79508,1.66939,1.90368,0.00505,0.00505,0.00505
52,15908.6,1.50222,1.63698,1.73233,0.51229,0.44577,0.44828,0.21665,1.80711,1.65912,1.91337,0.00489452,0.00489452,0.00489452
53,16136.7,1.49745,1.61581,1.72196,0.51297,0.44664,0.45684,0.21849,1.80681,1.64652,1.91021,0.00473919,0.00473919,0.00473919
54,16401.1,1.49942,1.62279,1.72407,0.52009,0.44835,0.45506,0.21901,1.79963,1.64274,1.90671,0.00458416,0.00458416,0.00458416
55,16664.9,1.49123,1.58857,1.72177,0.52832,0.4339,0.45404,0.21574,1.81146,1.6479,1.92051,0.0044296,0.0044296,0.0044296
56,16947,1.48385,1.58926,1.71411,0.50572,0.45589,0.45548,0.21803,1.80448,1.63292,1.90867,0.00427565,0.00427565,0.00427565
57,17206.9,1.47841,1.56858,1.70413,0.52324,0.45407,0.4591,0.21939,1.80805,1.62689,1.91412,0.00412246,0.00412246,0.00412246
58,17472.4,1.47208,1.57211,1.69973,0.55623,0.43887,0.46048,0.2193,1.81611,1.62711,1.91492,0.00397019,0.00397019,0.00397019
59,17722.4,1.46305,1.54908,1.69863,0.55027,0.43033,0.4573,0.21622,1.82756,1.63129,1.93094,0.00381899,0.00381899,0.00381899
60,17977.6,1.47127,1.56001,1.70369,0.51667,0.45066,0.45618,0.21704,1.81531,1.62343,1.92146,0.00366899,0.00366899,0.00366899
61,18189.6,1.45312,1.51167,1.68365,0.53164,0.4509,0.46034,0.2189,1.81198,1.61963,1.91134,0.00352037,0.00352037,0.00352037
62,18411.9,1.45516,1.51987,1.68544,0.525,0.43869,0.45291,0.21545,1.82966,1.64241,1.93017,0.00337325,0.00337325,0.00337325
63,18674,1.45142,1.53568,1.68855,0.5556,0.42981,0.45894,0.21831,1.81572,1.63379,1.92496,0.00322778,0.00322778,0.00322778
64,18891.4,1.44942,1.5136,1.68071,0.52206,0.44801,0.45834,0.21728,1.81241,1.63138,1.9176,0.00308412,0.00308412,0.00308412
65,19098,1.44231,1.49284,1.67246,0.52616,0.43984,0.45055,0.213,1.82473,1.64502,1.92643,0.00294239,0.00294239,0.00294239
66,19334.4,1.43924,1.49214,1.67353,0.51971,0.45427,0.45055,0.21091,1.83295,1.65368,1.93869,0.00280275,0.00280275,0.00280275
67,19570.4,1.43037,1.47752,1.66137,0.51882,0.43717,0.4511,0.21246,1.82894,1.64416,1.92822,0.00266532,0.00266532,0.00266532
68,19812.4,1.43363,1.47274,1.66535,0.50132,0.44627,0.4444,0.21371,1.83195,1.65565,1.92948,0.00253024,0.00253024,0.00253024
69,20054.6,1.42512,1.44661,1.66352,0.52746,0.43573,0.45366,0.21327,1.83764,1.63683,1.94703,0.00239766,0.00239766,0.00239766
70,20297.3,1.42159,1.43263,1.65496,0.52813,0.43833,0.45089,0.21216,1.85141,1.63841,1.95679,0.00226769,0.00226769,0.00226769
71,20516.8,1.41759,1.4256,1.65102,0.49878,0.45303,0.44264,0.21088,1.84967,1.6518,1.95827,0.00214046,0.00214046,0.00214046
