epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4118.81,0.85783,0.53438,1.13693,0.86639,0.86133,0.88745,0.67543,0.91343,0.55455,1.16777,0.000828443,0.000828443,0.000828443
43,4223.68,0.854,0.52414,1.13262,0.8352,0.8851,0.89587,0.67254,0.91388,0.53791,1.1566,0.000820525,0.000820525,0.000820525
44,4307.86,0.85815,0.52583,1.14257,0.86173,0.85936,0.88443,0.6732,0.8936,0.54487,1.14242,0.000812468,0.000812468,0.000812468
45,4399.71,0.86894,0.51734,1.13897,0.85363,0.84104,0.87725,0.65012,0.9254,0.56266,1.18133,0.000804277,0.000804277,0.000804277
46,4483.95,0.85626,0.52127,1.14239,0.86399,0.86032,0.88718,0.67498,0.88983,0.52139,1.15077,0.000795954,0.000795954,0.000795954
47,4567.12,0.83597,0.50711,1.12428,0.91893,0.82407,0.89267,0.67583,0.9108,0.54958,1.1745,0.000787503,0.000787503,0.000787503
48,4653.92,0.83913,0.50712,1.12443,0.8956,0.85954,0.88747,0.66856,0.90191,0.52398,1.1618,0.000778929,0.000778929,0.000778929
49,4763.08,0.84583,0.50717,1.13006,0.89459,0.86626,0.89045,0.6782,0.88713,0.52862,1.14978,0.000770234,0.000770234,0.000770234
50,4869.86,0.83387,0.50239,1.12244,0.87884,0.83015,0.88079,0.67122,0.89502,0.5623,1.15871,0.000761423,0.000761423,0.000761423
51,4968.54,0.82806,0.50102,1.1218,0.89153,0.85073,0.88485,0.66759,0.90286,0.55302,1.15819,0.0007525,0.0007525,0.0007525
52,5066.43,0.8261,0.50133,1.11925,0.89628,0.87605,0.90617,0.67543,0.89166,0.53188,1.15486,0.000743468,0.000743468,0.000743468
53,5151.51,0.81412,0.49264,1.11223,0.89679,0.86789,0.90238,0.67365,0.90509,0.54026,1.16152,0.000734332,0.000734332,0.000734332
54,5238.98,0.81804,0.48889,1.11423,0.91185,0.86613,0.90927,0.69289,0.8677,0.51124,1.1296,0.000725094,0.000725094,0.000725094
55,5323.8,0.81759,0.49019,1.1142,0.91798,0.84538,0.89882,0.66961,0.90458,0.53464,1.15534,0.000715761,0.000715761,0.000715761
56,5412.36,0.80839,0.48931,1.11689,0.90674,0.82516,0.88433,0.67169,0.88634,0.54175,1.15274,0.000706335,0.000706335,0.000706335
57,5496.25,0.80652,0.481,1.11073,0.82961,0.83487,0.86878,0.65309,0.9223,0.57597,1.16569,0.00069682,0.00069682,0.00069682
58,5596.58,0.81627,0.48347,1.10568,0.90466,0.8564,0.90274,0.69586,0.86189,0.51852,1.12628,0.000687222,0.000687222,0.000687222
59,5697.96,0.81519,0.47803,1.10882,0.90455,0.82969,0.89259,0.6777,0.87791,0.5039,1.13155,0.000677543,0.000677543,0.000677543
60,5809.59,0.79706,0.47759,1.10295,0.93717,0.83817,0.90181,0.69218,0.85937,0.49975,1.13087,0.000667789,0.000667789,0.000667789
61,5923.96,0.81423,0.48807,1.11387,0.87909,0.88597,0.90427,0.68693,0.87998,0.51855,1.14992,0.000657963,0.000657963,0.000657963
62,6034.51,0.79577,0.47963,1.10525,0.90397,0.85565,0.89165,0.68004,0.87231,0.52141,1.13838,0.000648071,0.000648071,0.000648071
63,6142.99,0.78984,0.4694,1.09938,0.90653,0.88021,0.9251,0.70452,0.85579,0.49355,1.13745,0.000638115,0.000638115,0.000638115
64,6252.35,0.79596,0.47191,1.10444,0.92334,0.86528,0.91239,0.69601,0.87387,0.49756,1.12836,0.000628101,0.000628101,0.000628101
65,6366.67,0.79438,0.46692,1.0978,0.88729,0.85143,0.90085,0.68824,0.88123,0.53626,1.14908,0.000618034,0.000618034,0.000618034
66,6478.5,0.78163,0.46022,1.09209,0.92552,0.84708,0.90417,0.69063,0.85703,0.51162,1.12325,0.000607916,0.000607916,0.000607916
67,6589.47,0.78115,0.46475,1.08936,0.93111,0.85451,0.90273,0.68914,0.8631,0.52027,1.12596,0.000597754,0.000597754,0.000597754
68,6713.09,0.77455,0.45622,1.09098,0.94479,0.843,0.91314,0.70102,0.85598,0.49994,1.12623,0.000587551,0.000587551,0.000587551
69,6826.45,0.77496,0.45135,1.08506,0.91461,0.84713,0.89589,0.68804,0.85727,0.51191,1.12965,0.000577311,0.000577311,0.000577311
70,6957.25,0.7688,0.45512,1.09285,0.90812,0.85813,0.90306,0.69182,0.85302,0.48394,1.12273,0.00056704,0.00056704,0.00056704
71,8682.41,0.76362,0.44705,1.08274,0.9122,0.85872,0.8999,0.69194,0.83715,0.4979,1.12145,0.000556742,0.000556742,0.000556742
72,8775.76,0.76289,0.44599,1.07872,0.91861,0.86954,0.9095,0.70344,0.85085,0.51278,1.12593,0.000546421,0.000546421,0.000546421
73,8860.57,0.7577,0.44736,1.0832,0.91002,0.87222,0.91183,0.70092,0.83623,0.4852,1.10433,0.000536081,0.000536081,0.000536081
74,8957.1,0.76179,0.44337,1.0784,0.87385,0.85358,0.89628,0.69375,0.84128,0.48445,1.11349,0.000525728,0.000525728,0.000525728
75,9056.03,0.75089,0.44551,1.07682,0.93023,0.85589,0.91372,0.70552,0.83148,0.46799,1.10932,0.000515366,0.000515366,0.000515366
76,9141.13,0.74486,0.4384,1.07364,0.91298,0.86959,0.90948,0.69464,0.85074,0.4846,1.12248,0.000505,0.000505,0.000505
77,9227.29,0.74087,0.43249,1.06871,0.94926,0.86378,0.92296,0.71312,0.83017,0.48273,1.10966,0.000494634,0.000494634,0.000494634
78,9317.34,0.73635,0.42565,1.06386,0.92271,0.86156,0.91012,0.70106,0.83921,0.48603,1.12685,0.000484272,0.000484272,0.000484272
79,9430.92,0.73323,0.4317,1.06677,0.92965,0.86753,0.91292,0.70787,0.83733,0.47708,1.11195,0.000473919,0.000473919,0.000473919
